"","X18111","X18112","X18113","X18114","X18115","X18116","X18117","X18118","X18119","X18120","X18121","X18123","X18126","X18127","X18128","X18130","X18131","X18132","X18133","X18140","X18142","X18144","X18146","X18151","X18156","X18161","X18166","X18170","X18174","X18178","X18182","X18187","X18192","X18197","X18201","X18206","X18211","X18216","X18221","X18226","X18232","X18236","X18240","X18244","X18248","X18252","X18255","X18259","X18263","X18267","X18283","X18287","X18291","X18298","X18302","X18306","X18310","X18314","X18318","X18321","X18324","X18327","X18332","X18335","X18336","X18337","X18338","X18339","X18479","X18485","X18491","X18605","X18609","X18613","X18617","X18620","X18622","X18623","X18627","X18710","X18716","X18722","X18990","X19033","X19035","X19039","X19041","X19045","X19047","X19051","X19149","X19156","X19166","X19183","X19190","X19197","X4","X5","X6","X17","X22","X27","X31","X36","X38","X43","X48"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP020000","CP030000","CP040000","CP040100","CP040300","CP040400","CP040500","CP050000","CP060000","CP070000","CP070200","CP080000","CP090000","CP100000","CP110000","CP120000","CPALTT01","CPGREN01","CPGRGO01","CPGRHO02","CPGRLE01","CPGRLH02","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","IRSTCI01","LFHU24MA","LFHUADMA","LFHUTTMA","LMUNRLTT","LOCOBPNO","LOCOCINO","LOCOPCNO","LOCOSPOR","LOCOVROR","LOLITOAA","LORSGPNO","LRHU24FE","LRHUADFE","LRHUTTFE","PIEAMP02","PREND401","PRINTO01","PRMITO01","PRMNCG02","PRMNIG01","PRMNTO01","PRMNVG01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","HEPSF","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.303784e+01"," 1.333200e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.323988e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.820000e+00"," 3.910000e+00",NA,NA,NA," 1.743000e+02",NA,NA,NA," 6.560000e+00"," 5.534696e+04",NA,NA,NA,NA,NA,NA,NA," 5.730659e-01",NA,NA,NA," 6.236062e-01",NA," 7.707911e+00",NA,"-9.551282e+00"," 5.956653e-01"," 5.079692e-01"," 8.769607e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.302567e+01"," 1.336500e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2.305919e-01"," 0.000000e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.800000e+00"," 4.110000e+00",NA,NA,NA," 1.700000e+02",NA,NA,NA," 6.650000e+00"," 5.013538e+04",NA," 1.014594e+02",NA,NA,NA," 0.000000e+00",NA," 7.597341e-01",NA,NA,NA,"-2.221338e+00",NA,"-9.416196e+00",NA," 4.323175e+00"," 6.104794e-01"," 5.499631e-01"," 6.051631e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.299709e+01"," 1.337000e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.000000e+00","-6.305170e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.760000e+00"," 4.170000e+00",NA,NA,NA," 1.529000e+02",NA,NA,NA," 6.520000e+00"," 5.305387e+04",NA," 1.010891e+02",NA,NA,NA,"-1.088498e-01",NA," 0.000000e+00",NA,NA,NA," 2.260242e+00",NA," 5.821206e+00",NA,"-2.241848e+00"," 6.120141e-01"," 5.716900e-01"," 4.032414e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.296462e+01"," 1.337900e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.533742e-01","-8.883249e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.810000e+00"," 4.220000e+00",NA,NA,NA," 1.408000e+02",NA,NA,NA," 6.800000e+00"," 5.628505e+04",NA," 1.007278e+02",NA,NA,NA," 1.361650e+00",NA," 1.131009e+00",NA,NA,NA," 2.018557e+00",NA," 6.090373e+00",NA," 6.115358e+00"," 5.599891e-01"," 5.429481e-01"," 1.704102e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.291574e+01"," 1.338700e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.297090e-01","-3.585147e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.740000e+00"," 4.250000e+00",NA,NA,NA," 1.248000e+02",NA,NA,NA," 6.860000e+00"," 5.117770e+04",NA," 1.003881e+02",NA,NA,NA,"-5.372969e-02",NA,"-2.795899e-01",NA,NA,NA," 1.703565e-01",NA,"-9.074074e+00",NA," 1.964637e+00"," 5.792467e-01"," 5.422075e-01"," 3.703915e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.289545e+01"," 1.338400e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.674597e-02"," 1.328021e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.730000e+00"," 4.150000e+00",NA,NA,NA," 1.081000e+02",NA,NA,NA," 7.290000e+00"," 5.732736e+04",NA," 1.000831e+02",NA,NA,NA,"-5.376209e-01",NA," 1.495327e+00",NA,NA,NA,"-6.798387e-03",NA," 1.201629e+01",NA," 4.046243e+00"," 5.570698e-01"," 5.023339e-01"," 5.473589e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.288327e+01"," 1.338700e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 3.840246e-01","-1.326260e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.680000e+00"," 4.530000e+00",NA,NA,NA," 1.030000e+02",NA,NA,NA," 7.430000e+00"," 6.306010e+04",NA," 9.982167e+01",NA,NA,NA,"-3.243353e-01",NA," 8.287293e-01",NA,NA,NA," 3.118899e+00",NA," 1.000000e+01",NA," 3.209877e+00"," 5.678229e-01"," 5.190165e-01"," 4.880637e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 8.288327e+01"," 1.338700e+00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 9.181331e-01"," 5.312085e-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 5.510000e+00"," 4.050000e+00",NA,NA,NA," 1.032000e+02",NA,NA,NA," 7.700000e+00"," 5.899507e+04",NA," 9.961051e+01",NA,NA,NA,"-5.422503e-02",NA," 0.000000e+00",NA,NA,NA," 1.151138e+00",NA,"-6.446281e+00",NA," 4.784689e+00"," 4.323199e-01"," 4.520914e-01","-1.977148e-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"   82.8832737","    1.3387000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    0.1516300","   -0.1321004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"    5.5400000","    4.1500000",NA,NA,NA,"  107.7000000",NA,NA,NA,"    7.4900000","54096.1825977",NA,"   99.4543191",NA,NA,NA,"    0.4340761",NA,"    2.4657534",NA,NA,NA,"   -0.9811826",NA,"   -8.3038869",NA,"   -5.6506849","    0.5543767","    0.5023261","    0.0520506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
