"","X27216","X27217","X27218","X27219","X27220","X27221","X27222","X27223","X27224","X27225","X27226","X27227","X27230","X27231","X27232","X27234","X27235","X27236","X27237","X27244","X27246","X27248","X27250","X27255","X27260","X27265","X27270","X27274","X27278","X27282","X27286","X27291","X27296","X27301","X27305","X27310","X27315","X27320","X27325","X27330","X27335","X27339","X27343","X27347","X27351","X27355","X27358","X27362","X27366","X27370","X27386","X27390","X27394","X27401","X27405","X27409","X27413","X27417","X27421","X27424","X27427","X27430","X27435","X27438","X27439","X27440","X27441","X27443","X27593","X27707","X27709","X27713","X27717","X27721","X27816","X28081","X28124","X28128","X28132","X28136","X28138","X28142","X28251","X28258","X28268","X28283","X28290","X28297","X7","X8","X9","X18","X23","X28","X32","X39","X44","X49"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP020000","CP030000","CP040000","CP040100","CP040300","CP040400","CP040500","CP050000","CP060000","CP070000","CP070200","CP080000","CP090000","CP100000","CP110000","CP120000","CPALTT01","CPGREN01","CPGRGO01","CPGRHO02","CPGRLE01","CPGRLH02","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","LCEAMN01","LFHUTTMA","LOCOBPNO","LOCOCINO","LOCOPCNO","LOLITOAA","LORSGPNO","LRHUTTFE","PIEAMP02","PREND401","PRINTO01","PRMITO01","PRMNIG01","PRMNTO01","PRMNVG01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.58490113"," 3.11739470"," 0.12224939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.52310375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.04456616",NA,NA,NA,"99.53848379",NA,NA,NA,NA,NA,"-0.34924331",NA,NA,NA,NA,"-9.67956565",NA," 5.20646320"," 0.23345000"," 0.35098001","-0.11753000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.58490113"," 3.11545843","-0.61050061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.17346054","-0.10162602",NA," 0.00000000","-0.05170496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.53335448",NA,NA,NA,"99.49836516",NA,"99.09720298",NA,NA,NA," 2.74532710",NA,NA,NA,NA," 4.56235655",NA,"-1.53583618"," 0.30751001"," 0.39928001","-0.09177000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.5849011"," 3.1193310","-0.3685504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.1737619","-0.2034588",NA," 0.0000000","-0.1132623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.3533269",NA,NA,NA,"99.3895495",NA,"99.0825708",NA,NA,NA," 1.5349630",NA,NA,NA,NA,"13.4694264",NA,"-1.7331023"," 0.3316600"," 0.4073300","-0.0756700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.56278654"," 3.11933097","-0.24660912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.08703220","-0.10193680",NA," 1.53624580","-0.03859127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.32381637",NA,NA,NA,"99.24739138",NA,"99.06380622",NA,NA,NA," 0.16797314",NA,NA,NA,NA," 5.96857191",NA," 3.70370370"," 0.30609023"," 0.39308429","-0.08699407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.56278654"," 3.11933097"," 0.49443758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.17421603","-0.10204081",NA," 0.00000000"," 0.10967282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.10449884",NA,NA,NA,"99.10392013",NA,"99.03483468",NA,NA,NA," 1.34153156",NA,NA,NA,NA," 7.13073911",NA," 5.61224490"," 0.33186625"," 0.42208232","-0.09021607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.56278654"," 3.11933097"," 0.49200492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000","-0.20429009",NA," 0.00000000","-0.12311324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.38116754",NA,NA,NA,"98.97291909",NA,"98.99000209",NA,NA,NA," 2.26144512",NA,NA,NA,NA," 0.64909093",NA,"11.59420290"," 0.28675821"," 0.37375228","-0.08699407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.5627865"," 3.1193310"," 0.4895961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.4347826"," 0.1023541",NA," 1.0401891"," 0.4537059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.4392794",NA,NA,NA,"98.8595078",NA,"98.9270345",NA,NA,NA,"-0.2696871",NA,NA,NA,NA," 9.5444372",NA," 4.3290043"," 0.3141452"," 0.4365813","-0.1224361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.56278654"," 3.11933097","-0.48721072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.17316017"," 0.10224949",NA," 0.00000000"," 0.37615431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.56927117",NA,NA,NA,"98.75468547",NA,"98.85140700",NA,NA,NA," 0.43266631",NA,NA,NA,NA," 9.89532369",NA,"17.84232365"," 0.29159122"," 0.34636526","-0.05477404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 35.56278654","  3.11933097"," -0.36719706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.08643042"," -0.40858019",NA,"  0.00000000","  0.02983245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.27891775",NA,NA,NA," 98.65608357",NA," 98.78184845",NA,NA,NA,"  1.29240712",NA,NA,NA,NA,"-20.07905626",NA,"  7.27699531","  0.30931223","  0.39147329"," -0.08216106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.56278654"," 3.11933097","-0.12285012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00000000"," 0.00000000",NA," 0.37435657"," 0.03591758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.59837383",NA,NA,NA,"98.57093252",NA,"98.75661450",NA,NA,NA,"-1.22275388",NA,NA,NA,NA," 3.66028566",NA,"-9.51859956"," 0.33508825"," 0.42047131","-0.08538306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
