"","X35078","X35079","X35080","X35081","X35082","X35083","X35084","X35085","X35086","X35087","X35088","X35089","X35092","X35093","X35094","X35096","X35097","X35098","X35099","X35106","X35108","X35110","X35112","X35117","X35122","X35127","X35132","X35136","X35140","X35144","X35148","X35152","X35157","X35162","X35167","X35171","X35176","X35181","X35186","X35191","X35196","X35201","X35205","X35211","X35215","X35222","X35225","X35229","X35233","X35237","X35253","X35257","X35261","X35268","X35272","X35276","X35280","X35284","X35288","X35291","X35294","X35297","X35302","X35305","X35306","X35307","X35308","X35310","X35448","X35454","X35460","X35578","X35586","X35590","X35595","X35596","X35600","X35683","X35689","X35695","X35962","X36009","X36013","X36019","X36121","X36128","X36136","X36151","X36158","X36165","X10","X11","X12","X19","X24","X29","X33","X40","X45","X50"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP020000","CP030000","CP040000","CP040100","CP040200","CP040300","CP040400","CP040500","CP050000","CP060000","CP070000","CP070200","CP080000","CP090000","CP100000","CP110000","CP120000","CPALTT01","CPGREN01","CPGRGO01","CPGRHO02","CPGRLE01","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","LCEAMN01","LFHU24MA","LFHUADMA","LFHUTTMA","LMUNRLTT","LOCOBPNO","LOCOCINO","LOCOSPOR","LOLITOAA","LORSGPNO","LRHU24FE","LRHUADFE","LRHUTTFE","PIEAMP02","PRINTO01","PRMITO01","PRMNTO01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.94350955","  0.58422776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.56000000",NA,NA,NA,NA,NA,NA,NA,"  8.05769283",NA,NA,NA,NA,NA,NA,"  1.21951220",NA,"  0.07242878",NA,NA,"  4.34782609","  0.28887181","  0.35459677"," -0.06572496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87202841","  0.58453848",NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.60000000",NA,NA,NA,NA,NA,NA,NA,"  7.61451973",NA,"103.15231891",NA,NA,NA,NA,"  0.00000000",NA,"  0.21712907",NA,NA," -5.50000000","  0.33352068","  0.35101859"," -0.01749791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87907585","  0.58422776",NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.51000000",NA,NA,NA,NA,NA,NA,NA,"  7.58766075",NA,"103.10640093",NA,NA,NA,NA,"  1.20481928",NA,"  1.22773231",NA,NA," -0.35273369","  0.36187507","  0.41224596"," -0.05037089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.84333528","  0.58438423","  0.14150345",NA,NA,NA,NA,NA,NA,NA,"  0.99999997",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.12823367","  1.00000000",NA,NA,"  0.06733096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.49000000",NA,NA,NA,NA,NA,NA,NA,"  8.12484027",NA,"103.01896700",NA,NA,NA,NA,"  2.38095238",NA,"  2.28299643",NA,NA,"  7.07964602","  0.31474474","  0.35345808"," -0.03871334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.8216896","  0.5845385"," -0.9615385",NA,NA,NA,NA,NA,NA,NA," -1.9801980",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.9615384"," -1.9801980",NA,NA," -0.8941830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.5600000",NA,NA,NA,NA,NA,NA,NA,"  8.1785582",NA,"102.8398277",NA,NA,NA,NA,"  0.0000000",NA,"  0.1976285",NA,NA,"  0.6611570","  0.3325484","  0.3752440"," -0.0426956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.82168958","  0.58438423"," -1.94174756",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.97087381","  0.00000000",NA,NA," -0.75688058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.49000000",NA,NA,NA,NA,NA,NA,NA,"  9.27977624",NA,"102.54560762",NA,NA,NA,NA,"  1.16279070",NA,"  1.72873883",NA,NA," 13.46469622","  0.32406229","  0.38717753"," -0.06311524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87907585","  0.58438423","  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  1.01010102",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.00000000","  1.01010101",NA,NA," -0.06656141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.39000000",NA,NA,NA,NA,NA,NA,NA,"  9.21262880",NA,"102.18077874",NA,NA,NA,NA," -1.14942529",NA," -2.13275547",NA,NA," -0.72358900","  0.32794100","  0.39183249"," -0.06389150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.87202841","  0.58422776"," -2.97029704",NA,NA,NA,NA,NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.98039214","  0.00000000",NA,NA," -0.48337287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.40000000",NA,NA,NA,NA,NA,NA,NA,"  9.52150703",NA,"101.81278418",NA,NA,NA,NA,"  1.16279070",NA,"  1.60820417",NA,NA,"  3.35276968","  0.30859943","  0.34173940"," -0.03313997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189.8287370","  0.5845385","  2.0408163",NA,NA,NA,NA,NA,NA,NA,"  1.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.9900990","  1.0000000",NA,NA,"  0.6999384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  4.4100000",NA,NA,NA,NA,NA,NA,NA,"  9.1589109",NA,"101.4928282",NA,NA,NA,NA,"  1.1494253",NA,"  0.8945980",NA,NA," -3.8081805","  0.3686005","  0.3874283"," -0.0188278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
