"","X13692","X13693","X13694","X13695","X13696","X13697","X13698","X13699","X13700","X13701","X13702","X13703","X13706","X13707","X13708","X13710","X13711","X13712","X13713","X13720","X13722","X13724","X13726","X13746","X13806","X13811","X13819","X13823","X13827","X13831","X13834","X13838","X13842","X13846","X13862","X13866","X13870","X13877","X13881","X13885","X13889","X13893","X13897","X13900","X13903","X13906","X13911","X13914","X13915","X13917","X13918","X13919","X14062","X14068","X14074","X14192","X14194","X14200","X14202","X14205","X14207","X14208","X14212","X14295","X14301","X14307","X14568","X14611","X14612","X14617","X14620","X14622","X14626","X14723","X14730","X14740","X14760","X14767","X14774","X1","X2","X3","X16","X21","X26","X34","X37","X41","X46","X51"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP040100","CPALTT01","CPGREN01","CPGRHO02","CPGRLE01","CPGRLH02","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","IRSTCI01","LFHU24MA","LFHUADMA","LFHUTTMA","LMJVTTUV","LMUNRLTT","LOCOCINO","LOCOPCNO","LOCOSPOR","LOCOVROR","LOLITOAA","LORSGPNO","LRHU24FE","LRHUADFE","LRHUTTFE","PIEAMP02","PREND401","PRINTO01","PRMITO01","PRMNIG01","PRMNTO01","PRMNVG01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","LCES","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.146695297","  2.766167250"," -0.445434298",NA," -0.784868413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.935000000",NA,NA,NA,"  3.728645107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.052610951","  0.047994207","  0.004616744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.103225423","  2.766167250"," -0.894854586",NA," -0.081132623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116.294000000",NA,NA,NA,"  4.426786153",NA," 98.331157264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 18.723719378",NA,NA,"  0.065735224","  0.056857477","  0.008877746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.07428995","  2.76616725","  0.00000000",NA," -0.12178404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"117.94700000",NA,NA,NA,"  3.91211001",NA," 98.35303722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.62640625",NA,NA,"  0.07240421","  0.06000965","  0.01239456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.07428995","  2.76616725","  0.00000000",NA,"  0.08129751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"113.65100000",NA,NA,NA,"  5.77351653",NA," 98.37689563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 47.58062819",NA,NA,"  0.07272032","  0.05463590","  0.01808442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.08389066","  2.76616725"," -0.22573363",NA," -0.30462487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"103.35800000",NA,NA,NA,"  6.94838513",NA," 98.40568584",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 20.34927225",NA,NA,"  0.06663185","  0.05540456","  0.01122728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.07669013","  2.76616725","  0.00000000",NA," -0.08150720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 96.59500000",NA,NA,NA,"  4.61678783",NA," 98.44227195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-33.55595941",NA,NA,"  0.03994304","  0.06707636"," -0.02713332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.067089424","  2.766167250","  0.000000000",NA," -0.040759302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101.584000000",NA,NA,NA,"  5.028043739",NA," 98.488235759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  8.907836334",NA,NA,"  0.055926997","  0.051833560","  0.004093437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.067089424","  2.766167250","  0.452488688",NA,"  0.203962262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110.221000000",NA,NA,NA,"  5.749559579",NA," 98.545342777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 14.349832217",NA,NA,"  0.044112606","  0.050901721"," -0.006789115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 40.06708942","  2.76616725","  0.90090090",NA,"  0.61061381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115.26000000",NA,NA,NA,"  4.25612237",NA," 98.61678646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-25.97481051",NA,NA,"  0.04111741","  0.06261627"," -0.02149886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
