"","X19806","X19807","X19808","X19809","X19810","X19811","X19812","X19813","X19814","X19815","X19816","X19817","X19820","X19821","X19822","X19824","X19825","X19826","X19827","X19835","X19837","X19840","X19842","X19847","X19852","X19857","X19861","X19864","X19867","X19870","X19873","X19877","X19882","X19887","X19891","X19895","X19900","X19905","X19910","X19915","X19920","X19925","X19928","X19934","X19938","X19944","X19947","X19950","X19954","X19958","X19962","X19978","X19982","X19986","X19993","X19997","X20001","X20005","X20009","X20013","X20016","X20019","X20022","X20027","X20030","X20031","X20032","X20033","X20034","X20035","X20042","X20043","X20175","X20181","X20187","X20305","X20307","X20311","X20313","X20315","X20318","X20319","X20322","X20323","X20327","X20410","X20416","X20422","X20675","X20715","X20718","X20723","X20725","X20729","X20731","X20735","X20835","X20842","X20847","X20866","X20873","X20880","X13","X14","X15","X20","X25","X30","X35","X42","X47","X52"
"SUBJECT","BCBUTE02","BCCICP02","BCEMFT02","BCOBLV02","BCSPFT02","BRBUFT02","BRBUTE02","BRCICP02","BREMFT02","BRODFT02","BRVSLV02","BSCICP02","BSEMFT02","BSFGLV02","BSOBLV02","BSPRFT02","BSPRTE02","BSSPFT02","BSXRLV02","CCRETT01","CCUSMA02","CCUSSP01","CP010000","CP020000","CP030000","CP040000","CP040100","CP040200","CP040300","CP040400","CP040500","CP050000","CP060000","CP070000","CP070200","CP080000","CP090000","CP100000","CP110000","CP120000","CPALTT01","CPGREN01","CPGRGO01","CPGRHO02","CPGRLE01","CPGRLH02","CPGRSE01","CPHP0100","CPHP0200","CPHP0300","CPHP0400","CPHP0500","CPHP0600","CPHP0700","CPHP0800","CPHP0900","CPHP1000","CPHP1100","CPHP1200","CPHPEN01","CPHPLA01","CPHPSE01","CPHPTT01","CSCICP02","CSESFT02","CSINFT02","IR3TIB01","IRLTLT01","IRSTCI01","LCEAMN01","LCEAPR02","LCEATT02","LFHU24MA","LFHUADMA","LFHUTTMA","LMJVTTUV","LMUNRLTT","LOCOBPNO","LOCOCINO","LOCOPCNO","LOCOSPOR","LOCOSTNO","LOCOVROR","LOLITOAA","LORSGPNO","LRHU24FE","LRHUADFE","LRHUTTFE","PIEAMP02","PREND401","PRINTO01","PRMITO01","PRMNCG02","PRMNIG01","PRMNTO01","PRMNVG01","SLRTCR03","SLRTTO01","SPASTT01","XTEXVA01","XTIMVA01","XTNTVA01","M1","M2","M3","GOLD","CRUDE OIL","LTIR","PCV","RoCU","PFCE","ULCP"
"X1960M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.2249919","  2.8025000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.2722323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5.3300000",NA,NA,NA,NA,NA,NA,NA,NA,"467.0000000",NA,NA,NA,"  4.1477887"," 99.4748490"," 76.9276126","104.4300332","101.6229210",NA,NA,NA,"  0.0894767",NA,NA,NA,NA,NA,NA,NA," -6.2423650"," -0.7215007"," -0.5208333","  0.9436337","  1.0556377"," -0.1120040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.2175839","  2.8038000"," -0.3710575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5.4000000",NA,NA,NA,NA,NA,NA,NA,NA,"462.0000000",NA,NA,NA,"  4.0537165"," 99.6789387"," 67.6962991","104.0866107","101.7290693",NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,"-12.0000000"," -0.4360465"," -2.2687609","  0.8774955","  1.0429020"," -0.1654065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.2352178","  2.8075000"," -0.5586592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.1819836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5.5900000",NA,NA,NA,NA,NA,NA,NA,NA,"433.0000000",NA,NA,NA,"  4.0900435"," 99.8805279"," 68.4079422","103.5159179","101.7171251",NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,"  1.0512289","  0.8759124","  0.8928571","  0.9259470","  1.1251659"," -0.1992189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.2491480","  2.8088000"," -0.1872659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.5469462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5.6700000",NA,NA,NA,NA,NA,NA,NA,NA,"401.0000000",NA,NA,NA,"  3.8655719","100.0711238"," 67.1851189","102.8813874","101.6304287",NA,NA,NA,"  0.5361238",NA,NA,NA,NA,NA,NA,NA," -1.7875458","  2.7496382"," -5.4867257","  0.9215488","  1.0648384"," -0.1432896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.3029011","  2.8025000","  0.6566604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.0000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  5.6900000",NA,NA,NA,NA,NA,NA,NA,NA,"360.0000000",NA,NA,NA,"  4.0031106","100.2493984"," 65.1303748","102.3093364","101.5262857",NA,NA,NA,"  0.4444558",NA,NA,NA,NA,NA,NA,NA," -3.0583321"," -0.2816901","  3.5580524","  0.9484956","  1.1084490"," -0.1599534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.3532189","  2.8069000","  1.4911463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.5439710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6.0400000",NA,NA,NA,NA,NA,NA,NA,NA,"324.0000000",NA,NA,NA,"  3.8945496","100.4117646"," 67.5960677","101.8528433","101.4505648",NA,NA,NA,"  0.1770420",NA,NA,NA,NA,NA,NA,NA,"  3.7857802"," -0.4237288"," -2.7124774","  0.8240232","  1.0902892"," -0.2662660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.12819171","  2.80890000"," -0.09182737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.18034265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6.01000000",NA,NA,NA,NA,NA,NA,NA,NA,"305.00000000",NA,NA,NA,"  3.90168897","100.53495980"," 68.81889097","101.52014951","101.41394900",NA,NA,NA,"  0.17661893",NA,NA,NA,NA,NA,NA,NA,"  1.80901542"," -0.85106383","  0.18587361","  0.82844851","  1.08681211"," -0.25836360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.007117224","  2.811299999"," -2.205882352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.630063006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6.030000000",NA,NA,NA,NA,NA,NA,NA,NA,"309.000000000",NA,NA,NA,"  4.111671689","100.580676167"," 69.129608359","101.296475794","101.409392281",NA,NA,NA,"  0.088203269",NA,NA,NA,NA,NA,NA,NA,"  0.451500146"," -0.715307582","  5.380333952","  0.848620015","  1.087470019"," -0.238850004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1960M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," -0.31642285","  2.81060000"," -0.28195489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  0.09057971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  6.10000000",NA,NA,NA,NA,NA,NA,NA,NA,"312.00000000",NA,NA,NA,"  4.06820526","100.53514413"," 74.26145691","101.13074968","101.42646437",NA,NA,NA,"  0.00000000",NA,NA,NA,NA,NA,NA,NA,"  7.42351747","  1.44092219"," -1.05633803","  0.79318141","  1.03788631"," -0.24470490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
