Country,Unit,SUBJECT,Q1-1980,Q2-1980,Q3-1980,Q4-1980,Q1-1981,Q2-1981,Q3-1981,Q4-1981,Q1-1982,Q2-1982,Q3-1982,Q4-1982,Q1-1983,Q2-1983,Q3-1983,Q4-1983,Q1-1984,Q2-1984,Q3-1984,Q4-1984,Q1-1985,Q2-1985,Q3-1985,Q4-1985,Q1-1986,Q2-1986,Q3-1986,Q4-1986,Q1-1987,Q2-1987,Q3-1987,Q4-1987,Q1-1988,Q2-1988,Q3-1988,Q4-1988,Q1-1989,Q2-1989,Q3-1989,Q4-1989,Q1-1990,Q2-1990,Q3-1990,Q4-1990,Q1-1991,Q2-1991,Q3-1991,Q4-1991,Q1-1992,Q2-1992,Q3-1992,Q4-1992,Q1-1993,Q2-1993,Q3-1993,Q4-1993,Q1-1994,Q2-1994,Q3-1994,Q4-1994,Q1-1995,Q2-1995,Q3-1995,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019,Q1-2020,Q2-2020,Q3-2020,Q4-2020,Q1-2021,Q2-2021,Q3-2021,Q4-2021,Q1-2022,Q2-2022,Q3-2022,Q4-2022,,,,
France,Percentage,PRIVATE CONSUMPTION (VOLUME),1.379831852,0.676773055,1.52957394,1.238806768,0.223490596,2.852315988,2.253793656,2.920904499,3.770959019,3.271106311,3.186221583,2.990008884,2.008541786,0.801496595,0.313912683,-0.348733435,0.239228575,0.848620287,1.488258178,0.28744923,1.228543071,1.325088813,1.667420192,3.488072331,3.025287367,4.189861086,4.160606335,3.215956675,3.312538889,3.045635469,2.646729471,4.320967261,3.341812924,2.545763209,3.74609008,2.724595704,3.6768056,3.528327433,3.34230508,2.915217288,3.090337358,3.135946338,1.988964246,2.194013732,0.956202664,0.651373973,0.641394754,0.430653935,0.734431076,0.821313327,1.306648416,1.491772372,-0.107779104,0.293853265,-0.07005654,-0.23684231,1.209189544,1.42174439,1.79198686,1.880816938,1.93395487,2.657248929,1.599900524,1.080129982,2.667387846,0.686160473,2.68904095,1.61993799,-0.165422305,0.378664905,-0.067028154,2.220666994,3.29527847,4.17424282,4.597767034,4.026001134,3.187439026,2.612528219,3.741777243,4.092308098,4.677913539,4.924416401,2.955513723,2.238741756,2.57889163,2.639359031,2.354290055,2.571175376,2.067195071,1.851041791,2.152223311,2.230356923,1.978073422,1.534077611,1.499152539,1.184941249,1.492729394,1.829536255,1.271266401,2.45364851,2.484408899,2.312077532,2.857032859,2.005682267,2.190194859,2.541587475,2.233031149,2.201724813,2.040597861,2.457198466,3.146318683,2.871177446,1.797246359,0.749257368,-0.069074329,-0.734883244,-0.394097843,0.336186971,0.318650635,1.458971853,1.794870514,1.41747934,1.983372753,2.001045007,2.184813691,0.691951708,0.252717082,-0.900456481,-1.195302888,-0.236409244,-0.309948659,0.285116184,0.063004885,0.652378945,0.609735551,0.986681105,0.59666045,0.845439296,1.149446322,0.889033356,1.864303147,1.522593589,1.414045627,0.993130994,1.658946111,1.392574914,1.143091416,2.127957026,1.294656163,1.628274189,2.280978325,1.397292365,1.40613036,0.92816756,0.677069725,0.908390018,1.36760156,2.08546151,1.845840605,1.831728206,-4.199564132,-15.83748552,-0.810392109,-6.350417396,-0.755743359,13.6123153,1.458741765,7.952716538,6.36483699,5.754807585,0.710859303,-1.112133006,,,,
Italy,Percentage,PRIVATE CONSUMPTION (VOLUME),,,,,,,,,1.592827587,1.333342435,0.152395996,0.68622101,-1.583127878,-0.302652729,-0.047292654,1.166523672,3.609086814,3.485158793,2.849812098,2.064932754,2.644062183,1.780148095,3.426845273,3.703004651,3.353314292,4.706779407,4.251659894,3.883186459,3.785940814,4.15396221,3.077018753,3.570978272,4.351945292,3.192235599,4.044307255,4.585511398,3.872198812,4.119992741,4.205324409,3.743455976,2.672740196,3.210876258,1.342798756,1.128550361,2.703930574,1.781547539,3.564347465,2.957487913,3.11378495,3.534228829,0.506515248,-0.63133306,-3.230314285,-4.449378116,-2.961187292,-1.591648814,0.014732076,1.100024573,1.993865225,3.042144333,2.243486516,1.889787899,1.705134789,0.042513423,1.738995533,1.478302914,0.417067454,1.798078896,1.001505997,3.411062799,4.888901737,4.608190687,4.733414367,3.252632478,2.917250194,2.755647744,2.68139728,2.777967633,2.834893768,2.769843803,2.870473565,2.636012325,2.190045956,2.644382927,2.178421104,1.040243077,0.105080999,-0.588619419,-0.555478636,-0.555874425,0.217459184,0.759364294,0.33946456,0.870814056,1.010279015,0.373645859,1.085671297,1.149351808,0.668773841,1.221596602,0.60863104,1.202925973,2.047560164,1.520231977,2.027432809,1.175096874,0.755957121,1.284067537,1.39916968,1.758232882,1.258371618,0.49866641,-0.082509987,-1.000070019,-1.416876551,-2.031461184,-2.643552815,-2.065768433,-1.251657601,0.073121306,0.851757435,0.883337163,1.319050773,1.212229425,1.108365517,1.090206251,-0.109696677,-1.983880615,-3.351638944,-3.998277754,-4.211940236,-3.307050424,-3.084292472,-2.938284198,-2.114355971,-1.566240372,-0.447223466,0.07144416,0.310175359,0.649758552,1.214499905,2.107032063,2.102573377,2.099372982,1.840867023,1.06057141,0.965327537,0.976629522,1.402392888,1.624575802,1.611654334,1.408462271,1.285994436,1.033981592,0.877128272,0.728424441,-0.025439376,-0.047260374,0.578902008,0.348848784,-7.560103825,-17.68228006,-6.948942143,-9.500933185,-3.492388788,12.97862587,3.256607409,6.933012942,7.914694145,5.667497521,3.740976696,1.571341952,,,,
Netherlands,Percentage,PRIVATE CONSUMPTION (VOLUME),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.057196608,3.425860549,3.606002731,3.52869037,3.780104274,4.479442391,3.551671227,4.342013074,4.269488447,2.347677276,2.149665196,2.104185882,0.928718327,-0.045829025,0.826187088,1.144915049,-1.105627301,2.502114273,1.805380905,0.073397,3.00286413,1.43088495,1.558231559,1.838836189,2.330454382,2.240176004,3.095947037,2.987601368,4.237340128,3.895621767,3.79718413,5.263095264,4.155538612,4.3800178,4.287671816,4.192982198,4.369921876,5.542130828,6.236545925,6.142895671,6.64093078,6.322036911,5.689978551,5.013944098,4.75354567,3.468772637,3.223810591,3.238467983,1.951647781,2.343405963,1.909739145,1.998479542,1.749100039,1.176862952,1.017751808,0.774349787,0.52483513,0.185505497,-0.382962744,-0.678928507,0.772701076,0.517106039,0.810574542,0.668803021,-0.295939545,0.537066177,1.555291415,1.801838943,-0.075213156,0.489394225,-0.281239348,-0.6046752,1.800368299,1.204100887,1.778285247,2.702169369,1.370779362,1.675721952,0.808834778,-0.20270645,-1.17450879,-2.282192257,-2.095547217,-1.972801232,-0.557654359,-0.030203139,0.154920191,0.827758917,0.6707854,0.593499169,-0.036719199,-1.014214634,-0.402606288,-1.026477606,-1.105569961,-2.097271262,-2.271816451,-1.676125227,-0.803549329,0.96347617,0.149439316,0.572538362,0.0788895,0.757287118,2.104017512,2.322285066,2.227535734,1.318901232,0.875944331,0.218201076,1.216014577,2.152480937,1.745669224,2.65670839,2.761993004,1.474805607,2.919982333,2.359778475,1.49010919,1.835234405,0.637444141,0.760207749,0.759926934,1.378900344,-1.236350417,-12.70365392,-5.018508486,-6.452833105,-8.00020942,10.48405786,6.023939657,6.806197925,12.9587631,7.051040599,3.003141315,3.917168472,,,,
Spain,Percentage,PRIVATE CONSUMPTION (VOLUME),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.031682629,2.370904903,3.019589192,2.376882812,2.830247435,1.542531686,1.421553256,5.50512165,3.38051811,4.776289936,4.895393177,4.570891678,4.597383684,5.21946021,5.68955918,3.726384981,6.706995055,4.549130452,3.965604059,2.632838679,2.815021446,3.976449207,4.398527615,4.303630656,3.589818394,3.227064585,2.532350275,2.970507861,1.760166723,2.115139727,2.62921583,2.945474598,4.453684997,3.934358834,4.0120191,3.838144406,3.436467089,4.79935657,4.212015886,4.081895857,4.35267071,3.591940466,4.026131685,3.974474149,3.77038919,3.508686702,3.188763234,3.121201287,2.293344688,0.564958493,-1.555896258,-4.031018502,-4.997225049,-4.897385339,-2.992207115,-1.393889765,0.214200521,1.338461444,-0.118423382,0.04884989,-1.487697651,-2.784419358,-2.239266616,-3.338480412,-2.347226845,-2.850471654,-4.011602828,-4.087083352,-5.328039589,-3.675004967,-2.109493044,-0.32125553,1.096776344,1.550305071,2.136988124,1.970729645,2.719778408,2.675219331,3.308428383,3.082253886,2.611168895,3.094967646,2.600317789,2.471113792,3.122868709,2.827502538,2.865044248,3.28097025,2.575661966,2.132744215,1.286876725,0.806801114,0.31172918,-0.852847047,2.839514911,2.025300055,-4.280474573,-23.65414338,-10.79954115,-10.39072737,-4.473124904,23.34986646,3.99624488,4.496908013,4.888304184,5.025975748,4.667482811,2.550224693,,,,
United Kingdom,Percentage,PRIVATE CONSUMPTION (VOLUME),4.838619767,-3.599609149,1.117653473,-1.639822092,-1.881214441,0.931869952,0.225373376,1.825206063,-0.008670583,0.611191499,1.898992942,3.151677158,4.553534653,4.842656592,4.964681287,3.929989551,4.086710416,3.292248475,1.118588486,3.088647812,3.350564237,3.53716551,5.698198422,5.255868842,6.809617887,7.86644842,6.766053967,5.901484405,4.727919084,4.9286963,6.863540197,8.39523672,9.32532674,8.667044426,8.586441852,7.410845455,5.356397021,4.824537509,2.61328674,2.653550467,3.11013374,3.518502019,2.611882288,0.870437342,-0.951033732,-3.228929834,-2.458099753,-2.381937338,-1.682303225,1.310357606,2.500073967,3.492806959,4.774958657,3.569312254,4.017290151,4.340423698,4.411597418,3.687876134,2.875616575,2.546731385,1.811315144,2.026231131,2.385442919,1.91566351,2.560202288,2.949862688,1.939594378,4.219932676,4.883756766,5.146403839,6.108836916,4.86027809,4.261971443,4.157101734,4.50265735,3.352176622,3.456293237,4.753387937,4.13095484,4.87831139,5.15659184,4.205402652,4.347215278,4.820588211,3.509311616,3.12711569,3.61806936,3.282574033,3.47127992,3.135233404,2.447310595,2.501934485,3.027543045,3.913747646,3.588494436,3.313449184,3.105478422,2.770296965,2.618302551,3.070712715,3.260625941,2.200088878,3.010843247,2.560128441,1.143168209,1.142622476,0.461931528,0.003049545,1.410595305,2.842539485,4.305439699,3.93548715,3.667388858,1.291910794,-2.511679015,-4.884759576,-5.575734796,-4.671348278,-2.454339613,1.047757449,0.41796064,3.120125341,2.661041922,1.745114866,1.504273271,-1.220150136,-1.018977626,-0.586395882,0.189876614,1.28042096,2.167937801,3.203793313,2.816877745,2.899477455,2.920131057,1.841351949,2.956383055,2.741069435,2.891669573,2.932074147,3.387635385,3.302397964,3.296423096,2.5426198,3.676389315,3.881446333,3.28605144,3.617644481,2.396098012,1.520342172,1.564813412,2.271938295,2.205544228,2.275132581,2.401880181,2.973081673,1.777351432,2.148750049,0.962597416,-0.611907967,-3.153150648,-25.81692472,-11.41466962,-12.2457796,-12.85587559,24.98031856,7.970998599,9.689191249,14.89902817,4.869675285,1.58533011,1.472942961,,,,
France,Millions,Government total capital expenditure,5363,5684,5816,6028,6157,6616,6857,7314,7389,7921,7874,7936,7926,8168,8210,8392,8482,8730,8979,9221,9208,9822,10101,10302,9955,10643,10781,10846,10434,11040,11437,11878,12098,12976,13246,13407,13315,13757,13993,14448,14782,15509,15753,15672,15219,15700,15803,15846,15809,16261,16496,16715,16998,17416,17228,16966,16680,17050,16905,17169,17327,18014,17677,17407,16280,16420,16058,16044,15845,16436,16257,16266,15546,15913,16013,16504,16906,17715,17740,18074,17370,17432,17856,18577,17837,18042,18674,19401,18369,18692,19256,19939,18878,19091,19963,20764,19931,20452,21196,22342,21256,21856,22618,23374,22260,22954,22948,24336,23274,24038,24683,25682,25179,25630,26228,27177,26561,26969,26895,28349,25373,26710,27131,28529,25830,26615,26711,27992,27166,27008,27409,31294,27547,27434,27703,28111,26479,25859,25612,27412,25565,24673,25398,27176,25103,25624,25494,27457,26335,26641,31526,32267,27837,25887,25917,28124,27432,28318,29621,31183,29276,26899,30872,32909,31655,32699,33246,35345,34292,35675,36239,,,,,
Italy,Millions,Government total capital expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12610,13627,12230,12725,12604,13672,11812,14141,14136,14823,13420,15555,14424,15104,16454,8761,13544,17053,16192,16833,14884,17710,16000,16818,15831,18124,16954,18539,16770,17855,16488,35004,16446,18105,16995,20583,15055,17925,16151,21377,18174,19918,17716,24827,16480,17491,16240,17288,14999,17299,13777,18151,13791,15701,14744,18504,12509,14609,14651,15093,11981,15395,14204,16907,12448,18266,14642,21985,12253,14401,13668,15298,11601,21644,16045,17511,12183,15291,13821,17087,13149,15949,14187,18685,14014,18771,25060,30957,20074,32232,24002,31864,18978,20064,24059,,,,,
Netherlands,Millions,Government total capital expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3939,4417,4473,5108,4307,4651,4639,5760,5219,5486,5611,6567,5591,5986,5933,6911,5793,6141,6475,7117,5230,5363,5402,6241,4025,4990,5055,7743,5796,5652,5883,6578,6011,5976,6017,6786,6972,7077,6128,7437,7651,7948,8844,8967,7772,8294,7698,8825,7697,7178,7710,7048,6647,7037,7630,6645,7646,6791,6962,6633,6425,6648,6503,6032,6668,6542,6572,6524,6707,6102,6318,7361,6342,5469,6369,6348,6087,6702,6477,7226,7012,6942,7563,7214,7072,7192,8128,8433,7519,7520,7776,10917,8221,9345,10754,,,,,
Spain,Millions,Government total capital expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6132,7396,7083,10783,6354,7566,8058,11146,7097,8535,8416,12479,7621,8916,10953,13832,8843,10569,9991,13583,9301,10346,11105,19205,9408,11974,12669,17473,10878,12704,14568,18841,13001,15053,14665,21638,14167,15875,16138,20752,15018,16608,16519,21197,14969,15043,14620,17715,12275,12680,11787,17782,9625,13196,11949,47257,9786,9944,9190,10492,6685,6979,7354,12363,6825,8125,9309,12193,6176,7374,6709,10027,7358,6998,6801,10308,8960,8633,7165,12599,9338,8726,8446,10662,11524,9264,8842,14682,13832,9870,14808,21358,9074,10464,10467,,,,,
United Kingdom,Millions,Government total capital expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7994,4978,5592,5741,8598,4778,5398,6236,8401,6660,7314,8120,9781,6686,8186,8271,12604,7946,8706,8936,12972,8929,9271,10107,16216,15317,10458,12574,15807,10161,10951,11867,18170,8515,11893,12868,23331,11576,31143,23265,29296,12816,15618,20993,24851,12709,16063,15734,23372,11914,13612,14025,21719,21698,12761,14416,18558,12923,14591,14959,22590,13935,15320,16820,23469,16623,16342,15231,21655,16345,17526,15927,24292,18158,18507,18992,25410,18754,19732,20160,27576,19086,21393,19793,27260,20727,23170,,,,,,,,,,,,,
